year,facilities,pop_3km,pop_10km,buffer_3km_km2,buffer_10km_km2,pct_us_pop_10km
2010,4875,43636826.53794986,200210856.23270008,116197.75828743735,958549.4076204308,59.66483449611617
2011,5515,49312669.91979814,209410538.12685248,127919.42681829447,1032368.0411045699,62.406431570120745
2012,5679,49730042.24591723,210504778.87936974,131169.61353418222,1056980.9985334417,62.73252624164027
2013,5823,50509702.62338421,211384283.82576048,133881.41167434296,1074463.6243550319,62.99462749854679
2014,5969,51363417.83704985,212690683.746068,136956.6260849578,1095909.9971406965,63.383947720724414
2015,6053,51629451.82897985,213639384.33860865,138643.62210399497,1107766.2845087114,63.666669971182785
2016,6390,52358733.85671325,214686162.92176646,141603.23774394856,1127601.319903258,63.97862044226812
2017,6515,52881608.666148484,215374995.89186794,143791.89335164003,1141569.8832359537,64.18389954615849
2018,6728,53767544.26524137,217143585.6511101,148390.12849056933,1173139.1143301462,64.71095695584293
2019,6921,54153991.02802041,218261552.14892656,151879.79265661797,1197604.9065779326,65.04412213639084
2020,7050,54900431.523959324,218900257.51307485,153887.56766669938,1210145.8705523373,65.23446271312459
2021,7225,55442369.48076454,219800467.6215359,156489.6749522788,1224384.0071481173,65.50273431509324
2022,7409,56200998.072124615,220457038.4971893,159090.2669228619,1240879.344681635,65.69839899266347
2023,7538,56644902.56711914,220959778.95615503,161062.9399295684,1253560.777399836,65.84822066988472
